year,census,date,site_code,lat,long,plot_size_m2,plot_dims
2023,1,20/02/2022,Tecopa,35.85114,-116.18591,2500,50 x 50
2023,1,20/02/2023,Tecopa_open,35.85537,-116.17860,2500,50 x 50
2023,1,22/02/2023,Carrizo_4,35.11974,-119.62902,500,10 x 50
2023,1,23/02/2023,Semitropic ,35.65999,-119.60513,1250,50 x 25
2023,1,23/02/2023,Carrizo_soda_open,35.05619,-119.60003,625,25 x 25
2023,1,28/02/2023,Heartofmojave,34.69762,-115.68356,2500,50 x 50
2023,1,28/02/2023,Sheephole,34.20535,-115.71806,2500,50 x 50
2023,1,02/03/2023,Carrizo_soda_shrub,35.07029,-119.64378,625,25 x 25
2023,1,03/03/2023,Cuyama_3,34.93829,-119.48032,625,25 x 25
2023,1,03/03/2023,Cuyama_1,34.84841,-119.48328,625,25 x 25
2023,1,03/03/2023,Cuyama_2,34.85328,-119.48604,625,25 x 25